"tf","gene","Gain","Cover","Frequency","Cor"
"ATF7","EXO1",0.0109352194530876,0.034,0.034,0.00323623209913803
"ATF7","ETV2",0.0101173365739414,0.0170212765957447,0.0170212765957447,-0.0535110751722208
"ATF7","CEBPD",0.0167286088175958,0.0370941159969142,0.0370941159969142,-0.0515495186200324
"BACH1","CRIP2",0.0981861429532397,0.08,0.08,0.534418560387955
"BACH1","GATA3",0.0399731070282564,0.0898324382384533,0.0898324382384533,0.0281026207346797
"BACH1","SPOCK2",0.0305789255026412,0.048,0.048,0.753672128499242
"BACH1","CD84",0.0300996099313453,0.076,0.076,0.386980708925393
"BACH1","MEF2A",0.0250817878767725,0.018,0.018,0.439037736948739
"BACH1","ANK3",0.0240790047552231,0.02,0.02,0.263683930144236
"BACH1","NFATC1",0.0216516301746777,0.02,0.02,0.309589056680377
"BACH1","JUP",0.0193205970091518,0.022,0.022,0.340536318349262
"BACH1","TTN",0.0155358550625207,0.048,0.048,0.525427238630993
"BACH1","CCSER2",0.0152923718676671,0.046,0.046,0.367527430103292
"BACH1","RREB1",0.0151723858320746,0.024,0.024,0.307739512390567
"BACH1","CD22",0.0151723589579853,0.066,0.066,0.254586439222822
"BACH1","TFEC",0.0141280735546128,0.016,0.016,0.498693047056918
"BACH1","RGS2",0.0116479122486965,0.016,0.016,0.724316617541366
"BACH1","C1orf162",0.0102691389990628,0.04,0.04,0.267419267734938
"BACH1","CCDC34",0.0115999962309299,0.036,0.036,-0.41008866643728
"BACH1","CCL3",0.0116114142233729,0.026,0.026,-0.23644036382027
"BACH1","SLC7A5",0.012035043651435,0.006,0.006,-0.479433468480189
"BACH1","LIN54",0.0137809158437483,0.034,0.034,-0.199197808287002
"BACH1","TCF3",0.0144102504599392,0.04,0.04,-0.503517445764078
"BACH1","LPXN",0.0145152284356332,0.014,0.014,-0.531818038168844
"BACH1","ZNF684",0.0148474064511591,0.028,0.028,-0.14057633965572
"BACH1","ZNF140",0.0159871019607644,0.018,0.018,-0.116856612741076
"BACH1","KLHL21",0.0166612333996699,0.036,0.036,-0.201552346067185
