"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
0.0231811046328259,0.493744876986282,0.265,0.356,1,"LINC00657","4"
0.158443491844992,0.741487628749443,0.138,0.171,1,"RP11-139H15.1","4"
0.410284652150621,0.888906065864506,0.141,0.141,1,"AC159540.1","4"
0.502443366899689,1.24068949563235,0.146,0.173,1,"AC009948.5","4"
1.30449222344176e-94,2.96919723686186,0.505,0.128,3.00202795380652e-90,"MIR155HG","5"
2.14412655393908e-50,2.15921363572982,0.231,0.045,4.93427843858001e-46,"AC079767.4","5"
3.35052713840377e-49,2.71245847779011,0.492,0.201,7.71056810360859e-45,"CTC-444N24.11","5"
5.32881380768902e-19,1.19747919631119,0.542,0.374,1.22631992156348e-14,"RP11-220I1.1","5"
6.96385452671558e-19,0.972280610175549,0.695,0.565,1.60259184223306e-14,"RP11-94L15.2","5"
4.17562363807213e-12,0.557366291637778,0.695,0.516,9.60936267829539e-08,"ZFAS1","5"
1.22010539903531e-11,0.851599123882864,0.474,0.342,2.80782855479997e-07,"LINC00657","5"
1.86638618434026e-05,2.29798767468409,0.151,0.09,0.429511452602223,"AC017002.1","5"
0.00016202943218345,1.42778256977169,0.172,0.114,1,"LINC00665","5"
0.000714533789579078,1.86596119373747,0.145,0.097,1,"RP11-215G15.5","5"
0.000996689315598857,0.472986536491122,0.102,0.186,1,"SNHG15","5"
0.00209931374248824,0.788366911036477,0.172,0.124,1,"LINC00667","5"
0.00501107939499959,1.23187503394799,0.175,0.133,1,"WAC-AS1","5"
0.00638918097672538,0.430202441421307,0.108,0.175,1,"LINC00116","5"
0.0133590737259854,0.511618687438943,0.086,0.142,1,"NNT-AS1","5"
0.0225457029094454,1.21476274350306,0.102,0.071,1,"RP11-350F4.2","5"
0.028616730111131,0.612997383597259,0.286,0.261,1,"FGD5-AS1","5"
0.0508723534996982,0.873707162234851,0.142,0.115,1,"TTTY15","5"
0.0678194291882715,0.809147106874553,0.154,0.211,1,"NCBP2-AS2","5"
0.0949891236805833,0.713851110426924,0.332,0.323,1,"AC104699.1","5"
0.101339240641249,1.00487206332112,0.215,0.197,1,"MIR142","5"
0.200624869608382,0.324175185362042,0.098,0.128,1,"RP6-109B7.3","5"
0.205555344685799,0.529610405524699,0.102,0.085,1,"HCG11","5"
0.257992909514293,0.259030286527712,0.142,0.174,1,"LINC00341","5"
0.284426868345294,1.06103591109537,0.114,0.101,1,"TRIM52-AS1","5"
0.305190142910491,0.584231480214612,0.108,0.095,1,"MKLN1-AS1","5"
0.385704811716747,0.476766224670719,0.108,0.131,1,"HCG18","5"
0.391442536323927,0.276477929183139,0.092,0.112,1,"LINC00909","5"
0.409791222544926,0.358218220129682,0.089,0.107,1,"TOPORS-AS1","5"
0.443919091871544,0.47442088465128,0.209,0.207,1,"RP11-349A22.5","5"
0.575471779570363,0.311589105925697,0.154,0.178,1,"EPB41L4A-AS1","5"
0.594407843980721,0.506848752045743,0.188,0.217,1,"CTC-503J8.6","5"
0.661364817796438,1.09967635966913,0.12,0.137,1,"NUTM2A-AS1","5"
0.792485849249517,0.861980682267235,0.148,0.152,1,"CTC-241F20.3","5"
0.85555646285356,0.45740729052792,0.145,0.149,1,"CASC7","5"
0.861349218275849,0.838552212245248,0.132,0.146,1,"JPX","5"
0.950724576152138,0.472565753599463,0.185,0.203,1,"LINC00493","5"
0.979262193748188,0.413147762998697,0.329,0.369,1,"SCARNA9","5"
